TiO2_Loading,RH_Percent,Time_Hours,CurrentDensity_Acm2,Temp_K,MembraneLambda,FloodingState,ECSA_Norm,Voltage
0.05,30,0.0,0.5755471707975444,333.4150036366504,7.945154717079755,0.0,0.9997986908483318,0.4617303587988607
0.05,30,1.0,0.5878326032967599,333.6755411540503,7.537477350984376,0.0,0.9995961071259077,0.4575158150189212
0.05,30,2.0,0.5852284040316729,333.91800251271565,7.170714978938121,0.0,0.9993923331296806,0.4579610870085679
0.05,30,3.0,0.5801623060134361,334.14119300300774,6.840488996666714,0.0,0.999187460834874,0.45985473865047605
0.05,30,4.0,0.5929922887222757,334.36303330641454,6.544898836875603,0.0,0.9989814915093476,0.4584190086177487
0.05,30,5.0,0.5860267767931872,334.5649932145246,6.278466732030486,0.0,0.9987745223961801,0.45739628800349874
0.05,30,6.0,0.6041845030130728,334.772124752598,6.040760042396714,0.0,0.998566521971924,0.45465702203957403
0.05,30,7.0,0.5878104059779802,334.95121412614293,5.825424318712444,0.0,0.9983576318024094,0.45668473717759633
0.05,30,8.0,0.5880487035250325,335.11978230074834,5.6318613328749905,0.0,0.9981479034444569,0.45750568049671064
0.05,30,9.0,0.5923471859328127,335.28229551364944,5.458278056847898,0.0,0.9979373655902208,0.4573196640651128
0.05,30,10.0,0.6053664760087046,335.4475326390506,5.303528620707131,0.0,0.9977260009049399,0.4543727797420398
0.05,30,11.0,0.570289228850369,335.56986452434177,5.160901152900748,0.0,0.997514033787425,0.4607921388385869
0.05,30,12.0,0.5713605254234513,335.685834932891,5.0327861890001175,0.0,0.9973014964591196,0.4588122570305873
0.05,30,13.0,0.5730789717453992,335.796420443203,4.9177826810856455,0.0,0.9970884162020176,0.45931144041841754
0.05,30,14.0,0.5543949029271131,335.88351818332404,4.812526120588707,0.0,0.9968749171441997,0.4617969109677698
0.05,30,15.0,0.5584941406781182,335.96903965646203,4.71831039647706,0.0,0.9966610069910273,0.46125191372111424
0.05,30,16.0,0.5594571538840554,336.05029112269995,4.633706761821283,0.0,0.9964467079244917,0.4612147169278197
0.05,30,17.0,0.5566931808363658,336.1241994934097,4.55737169696097,0.0,0.9962320587353903,0.46074120489205794
0.05,30,18.0,0.544896273457072,336.18327708286705,4.4875667829136185,0.0,0.9960171386292764,0.46187295937478196
0.05,30,19.0,0.5653297116903243,336.25695860423093,4.426855509008376,0.0,0.9958018687609603,0.460416950418108
0.05,30,20.0,0.5358393205371784,336.30024010992406,4.3693270346522475,0.0,0.9955864124384824,0.4644343587545963
0.05,30,21.0,0.5621694780244209,336.3640533209464,4.320241951954813,0.0,0.9953706588465172,0.4614418645756896
0.05,30,22.0,0.5575627492775157,336.41991109719515,4.275653789735128,0.0,0.9951546506102129,0.4627203153648792
0.05,30,23.0,0.5646600006183361,336.4787891644021,4.2362787570337135,0.0,0.9949383711662891,0.45914811049820864
0.05,30,24.0,0.5633054771399839,336.5329122629987,4.2007451502873066,0.0,0.9947218459815057,0.4594391103439457
0.05,30,25.0,0.5853318096735255,336.60402818915134,4.171003071075641,0.0,0.9945049827420981,0.45643053015443014
0.05,30,26.0,0.5902059039396733,336.67546090503845,4.144752351290969,0.0,0.9942877792844683,0.45623139118892836
0.05,30,27.0,0.5820734858785054,336.7349808851063,4.120339712398432,0.0,0.9940702999316454,0.45641405551969916
0.05,30,28.0,0.5803735852907732,336.78934883080257,4.098222759975268,0.0,0.9938525724462847,0.4558462694999904
0.05,30,29.0,0.5947446426092965,336.85396485288436,4.079776725478696,0.0,0.9936345407633255,0.4546529348578569
0.05,30,30.0,0.6020538510897279,336.9217020334009,4.06392466131432,0.0,0.9934161874998011,0.45288159960467195
0.05,30,31.0,0.5938225193129556,336.97750005895136,4.048850522452869,0.0,0.9931975775158073,0.4519177284311324
0.05,30,32.0,0.5791049856231195,337.0161401229131,4.033827118247442,0.0,0.9929788044290004,0.4552537707662138
0.05,30,33.0,0.5796379547355713,337.05295584239434,4.020374374778007,0.0,0.9927598781483328,0.45742970196558885
0.05,30,34.0,0.5803873602893858,337.08825808223764,4.008355298954367,0.0,0.9925408068992319,0.4555399807436532
0.05,30,35.0,0.5763725805541715,337.11772687859514,3.9971486718153932,0.0,0.9923216225921824,0.45573291152462003
0.05,30,36.0,0.5809030813745739,337.1496219778398,3.987526964099496,0.0,0.9921023119035387,0.45599383463528137
0.05,30,37.0,0.568950399890475,337.16860830519784,3.9776817807144944,0.0,0.9918829455964382,0.45546513516963
0.05,30,38.0,0.5617712950771387,337.1799613972641,3.9681130503700444,0.0,0.9916635655436595,0.4574535319166178
0.05,30,39.0,0.5565257761660625,337.185940465058,3.958986209899276,0.0,0.9914442012285637,0.4581698890761617
0.05,30,40.0,0.5424330433271178,337.17917092234904,3.949371907032161,0.0,0.991224922548143,0.46086469943627884
0.05,30,41.0,0.5639721743303847,337.19187235774325,3.9428825618549515,0.0,0.9910056227490007,0.4584433470421416
0.05,30,42.0,0.5642330289121956,337.204047145011,3.937074725998821,0.0,0.9907863047317975,0.4573666280855454
0.05,30,43.0,0.541114539163925,337.195048271906,3.9295416325893324,0.0,0.9905670845699969,0.45884891736662736
0.05,30,44.0,0.5590195277214803,337.2023476414908,3.9245598804699577,0.0,0.9903478729179837,0.4548459958954177
0.05,30,45.0,0.5461514638987527,337.19783192021634,3.918794478932367,0.0,0.9901287345151797,0.4591501420936613
0.05,30,46.0,0.5810173089169179,337.2250268956122,3.9170979674518898,0.0,0.9899094956142753,0.4552811880187416
0.05,30,47.0,0.5566776626668336,337.22843729796523,3.9131388390059323,0.0,0.9896902865713563,0.45923690267263806
0.05,30,48.0,0.5643705890468967,337.23854238951225,3.9103488751710227,0.0,0.9894710707040751,0.45718774521546407
0.05,30,49.0,0.5770190472686839,337.2595906308702,3.9091055435056177,0.0,0.9892517880482646,0.4558819934891135
0.05,30,50.0,0.5823636516296131,337.2843331312095,3.9085222487745117,0.0,0.9890324183521287,0.4527095016278529
0.05,30,51.0,0.5838296661984386,337.30895880664366,3.90814446826813,0.0,0.9888129622521025,0.4537303905770607
0.05,30,52.0,0.6100112808824624,337.3571122884881,3.910423005061295,0.0,0.9885932905866707,0.4520312807649299
0.05,30,53.0,0.5896267454366281,337.3828133103262,3.910432956093767,0.0,0.9883735265798709,0.4532150133698036
0.05,30,54.0,0.5881477393546425,337.40557872235297,3.9102940014637606,0.0,0.988153686357218,0.45250724361265016
